num,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,sort
1,0.3304,0.3304,0.4077,0.4023,0.0191,0.0247,0.0215,0.0212,0.0252,0.019,0.0066,0.0042,0.0046,0.0105,0.0031,0.0094,-0.0074,-0.0075,-0.0107,-0.01,-0.006,-0.0059,0.0013,0.0009,0.0003,0.0024,0.0025,0.0021,0
2,0.3304,0.3304,0.441,0.4325,0.021,0.0234,0.0199,0.0238,0.0206,0.0203,0.0056,0.0037,0.007,0.0085,0.0121,0.0089,-0.0104,-0.006,-0.0032,0.0007,-0.0045,-0.0077,0.0017,0.0012,0.0023,0.0011,0.0025,-0.0009,0
3,0.3305,0.3306,0.4158,0.429,0.0211,0.0167,0.0189,0.0222,0.027,0.0221,0.0064,0.0017,0.007,0.009,0.0074,0.0093,-0.0084,-0.0054,-0.0038,-0.0082,-0.0037,-0.0072,0.0018,0.0008,0.0008,0.0005,0.0026,-0.0005,0
4,0.3304,0.3306,0.4335,0.4134,0.0206,0.0186,0.0154,0.0206,0.0267,0.0254,0.0062,0.0082,0.008,0.0083,0.01,0.0082,-0.0041,-0.0056,-0.0074,-0.0097,-0.0042,-0.0074,0.0008,0.0006,-0.0014,-0.0009,0.0022,0.0017,0
5,0.3306,0.3304,0.4123,0.4127,0.0191,0.0182,0.0188,0.0222,0.0308,0.024,0.0045,0.0098,0.0093,0.0107,0.0085,0.0051,-0.002,-0.0062,-0.0045,-0.003,-0.0046,-0.008,0.0035,0.0005,0.0015,0.001,0.0025,-0.002,0
6,0.3304,0.3305,0.4218,0.4211,0.0217,0.0194,0.0191,0.0242,0.0265,0.0208,0.0074,0.0003,0.0073,0.0078,0.0044,0.0083,0.0008,-0.0066,-0.0081,-0.0042,-0.0025,-0.0077,0.0009,0.0017,-0.002,0.0061,0.0023,0.0011,0
7,0.3304,0.3308,0.4194,0.4266,0.0192,0.0191,0.0217,0.0242,0.0197,0.0201,0.0076,0.0032,0.0077,0.0113,0.0102,0.0112,-0.0071,-0.006,-0.0053,-0.0048,-0.0048,-0.0093,0.0022,0.0008,0.0053,0.0083,0.0016,0.0022,0
8,0.3302,0.3305,0.4359,0.4245,0.0211,0.0186,0.0248,0.0224,0.0147,0.0249,0.0081,0.0036,0.0087,0.0091,0.0103,0.0099,-0.0101,-0.0074,-0.0025,-0.0025,-0.0055,-0.0052,0.0048,0.001,0.0016,0.0037,0.0014,0.0014,0
9,0.3307,0.3305,0.3497,0.4291,0.023,0.0176,0.0224,0.0239,0.0269,0.0253,0.0064,0.007,0.0128,0.0097,0.0147,0.0099,-0.0083,-0.0057,-0.0039,-0.0001,-0.0039,-0.0056,-0.0005,0.001,0.006,-0.003,0.0015,-0.0005,0
10,0.3304,0.3304,0.4081,0.4212,0.0215,0.0143,0.0193,0.0216,0.0245,0.0205,0.0049,0.0045,0.0078,0.0094,0.0124,0.0106,-0.0043,-0.0042,-0.0051,-0.0032,-0.0025,-0.0035,-0.0019,0.0012,0.0009,0.0034,0.0015,0.0046,0
11,0.3303,0.3307,0.3835,0.4346,0.0201,0.0143,0.0236,0.0241,0.0288,0.0244,0.0059,0.008,0.0058,0.0087,0.0065,0.0096,-0.0052,-0.0064,-0.0069,-0.0038,-0.002,-0.0061,0.0011,0.0003,-0.0016,0.0075,0.0021,0.0035,0
12,0.3308,0.3308,0.4099,0.4243,0.0217,0.0238,0.0196,0.022,0.0237,0.0241,0.0075,0.0053,0.0081,0.0096,0.0122,0.0101,-0.0062,-0.0072,-0.0037,-0.0078,-0.0035,-0.0108,-0.0022,0.0007,0.0032,0.0061,0.0012,0.003,0
13,0.3306,0.3305,0.4359,0.4127,0.0197,0.021,0.0211,0.0233,0.0165,0.0254,0.0063,0.0042,0.0101,0.0074,0.0112,0.0111,-0.0053,-0.0072,-0.003,-0.0043,-0.004,-0.0088,0.0005,0.0008,0.0049,0.0027,0.0021,-0.0027,0
14,0.3303,0.3304,0.4039,0.3902,0.0215,0.0199,0.0185,0.0242,0.0246,0.0238,0.0053,0.0067,0.0068,0.0097,0.0093,0.0102,-0.0029,-0.0074,-0.0044,-0.0049,-0.004,-0.008,0.001,0.0002,0.0021,0.0052,0.0036,0.0019,0
15,0.3303,0.3308,0.4106,0.4069,0.0206,0.0161,0.0209,0.0226,0.0328,0.0274,0.0072,0.0092,0.0063,0.0105,0.0127,0.0093,0.0027,-0.0083,-0.0114,-0.0005,-0.0033,-0.0029,0.0033,0.0017,0.0021,0.0002,0.0022,0.0038,0
16,0.3304,0.3306,0.3961,0.4147,0.0217,0.0176,0.0223,0.0231,0.0225,0.0216,0.0044,0.0033,0.0047,0.0082,0.01,0.0071,-0.0057,-0.0059,-0.0075,-0.0015,-0.0033,-0.002,0.0074,0.0015,0.0057,0.0056,0.0022,-0.0006,0
17,0.3306,0.3305,0.4087,0.4254,0.022,0.0146,0.0256,0.0219,0.0283,0.0239,0.0072,0.0051,0.0098,0.0098,0.0099,0.0078,-0.0055,-0.0064,0.0008,-0.0067,-0.0033,-0.0041,0.0057,0.0007,0.0051,0.0016,0.0024,0.0001,0
18,0.3304,0.3304,0.4305,0.4194,0.0213,0.0178,0.0181,0.0249,0.0227,0.0258,0.0066,0.0052,0.0107,0.0083,0.0117,0.01,-0.0054,-0.0078,-0.0087,-0.0114,-0.0039,-0.0061,0.003,0.0013,0.0014,0.0027,0.0023,0.0001,0
19,0.3302,0.3308,0.4204,0.4348,0.0215,0.0185,0.019,0.0227,0.0247,0.0201,0.0064,0.0055,0.0081,0.0079,0.0087,0.0065,-0.0072,-0.0054,-0.0006,-0.0063,-0.006,-0.0069,0.0017,0.0007,0.0029,0.0005,0.002,-0.0005,0
20,0.3304,0.3308,0.4172,0.4346,0.0202,0.0175,0.0184,0.0225,0.0282,0.0261,0.0041,0.0058,0.0055,0.0101,0.0104,0.0135,-0.0077,-0.0069,-0.0028,-0.004,-0.004,-0.006,0.0065,0.0012,0.0015,0.0018,0.0034,0.003,0
21,0.3306,0.3306,0.4118,0.4029,0.0205,0.0175,0.0183,0.0244,0.0226,0.0265,0.0057,0.0041,0.0085,0.0097,0.0153,0.0094,-0.0069,-0.0066,-0.0053,-0.0051,-0.0052,-0.0089,-0.001,0.0018,-0.0036,0.0008,0.0017,0.002,0
22,0.3306,0.3304,0.4227,0.4301,0.0221,0.0185,0.0185,0.0261,0.0248,0.0229,0.0046,0.0064,0.0066,0.0105,0.0074,0.0133,-0.0061,-0.0068,-0.0053,-0.0015,-0.0056,-0.0051,0.0048,0.0007,-0.0008,0.0012,0.001,-0.0042,0
23,0.3303,0.33,0.4054,0.3966,0.0188,0.0164,0.0182,0.0218,0.0306,0.0225,0.0079,0.0028,0.0051,0.0101,0.0122,0.0051,0.0013,-0.0053,-0.002,-0.0003,-0.0019,-0.003,0.0043,0.0007,0.001,0.0041,0.0021,0.0032,0
24,0.3273,0.3273,0.3272,0.2981,0.0135,0.0108,0.0116,0.016,0.0187,0.0202,0.0057,0.0006,0.009,0.0122,0.0091,0.0111,-0.0038,-0.0031,0.0008,0.0015,0.0012,-0.0006,0.0005,0,0.0048,-0.0002,0.0025,-0.0006,0
25,0.3275,0.3273,0.2417,0.2017,0.0061,-0.0048,0.0051,0.0119,0.0154,0.0117,0.0015,-0.0065,0.0022,0.0099,0.0092,0.0077,0.0026,0.002,0.005,0.0043,0.0088,0.0047,0.001,-0.0001,-0.0026,0.0044,0.0025,-0.0019,0
26,0.3271,0.3271,0.1132,0.1186,-0.0037,-0.0185,-0.008,0.0052,0.006,0.0088,-0.001,-0.0106,-0.0045,0.0084,0.0128,0.0121,0.0016,0.006,0.0107,0.0142,0.0161,0.0106,0.0002,-0.0005,0.0037,0.0028,0.0021,-0.0027,0
